LOAN_REF,CUSTOMER_ID,CUSTOMER_NAME,PHONE_NUMBER,PRINCIPAL_AMOUNT,ISSUE_DATE,APPROVAL_TIME,EMPLOYEE_ID,BRANCH_CODE,LOAN_STATE
MCU-00001,CU92190,CATHERINE TUSIIME,256761408717,2110000,2024-01-09,12:52,EMP001,MCU02,ACTIVE
MCU-00002,CU23016,FLORENCE MUKASA,256711441148,8360000,2024-04-30,09:09,EMP003,MCU03,ACTIVE
MCU-00003,CU37686,GRACE NAMBI,256769586012,7430000,2024-03-31,13:35,EMP004,MCU04,DEFAULTED
MCU-00004,CU35693,GRACE OPOLOT,256798968371,6090000,2024-05-17,13:35,EMP006,MCU01,ACTIVE
MCU-00005,CU86599,EMMANUEL TUMUSIIME,256740045765,7230000,2024-03-06,16:34,EMP002,MCU02,ACTIVE
MCU-00006,CU20037,CATHERINE NAKATO,256700378033,5540000,2024-01-03,10:37,EMP006,MCU03,DEFAULTED
MCU-00007,CU87912,HOPE AKELLO,256704149729,1190000,2024-11-23,16:54,EMP004,MCU02,PAID
MCU-00008,CU50959,ROSE ATUHAIRE,256754545778,1070000,2024-04-06,09:42,EMP006,MCU04,ACTIVE
MCU-00009,CU41474,JANE NATURINDA,256776474596,2250000,2024-05-01,10:01,EMP004,MCU03,ACTIVE
MCU-00010,CU93381,FLORENCE KARUNGI,256786539154,7790000,2024-11-19,14:35,EMP003,MCU04,ACTIVE
MCU-00011,CU25916,ESTHER WASSWA,256762756430,410000,2024-03-29,13:12,EMP002,MCU04,DEFAULTED
MCU-00012,CU99499,SARAH AKELLO,256767012710,4750000,2024-10-10,12:07,EMP006,MCU01,ACTIVE
MCU-00013,CU79709,EMMANUEL NATURINDA,256758091934,2440000,2024-05-09,16:36,EMP002,MCU04,PAID
MCU-00014,CU68555,RUTH NAMBI,256789918804,2780000,2024-02-13,17:41,EMP002,MCU01,PAID
MCU-00015,CU33082,ROSE KYOMUHENDO,256716679110,7840000,2024-06-24,13:46,EMP005,MCU02,ACTIVE
MCU-00016,CU47620,CATHERINE ATUHAIRE,256710227819,3690000,2024-09-18,17:32,EMP005,MCU04,DEFAULTED
MCU-00017,CU64137,FLORENCE TUMUSIIME,256755533580,4890000,2024-09-20,15:57,EMP006,MCU01,ACTIVE
MCU-00018,CU72239,ANDREW NABIRYE,256790425195,6090000,2024-08-26,11:09,EMP002,MCU03,DEFAULTED
MCU-00019,CU58157,REBECCA WASSWA,256740261771,9340000,2024-06-18,08:27,EMP003,MCU03,DEFAULTED
MCU-00020,CU88979,PETER SSEMPALA,256729444501,6060000,2024-10-21,08:57,EMP004,MCU02,ACTIVE
MCU-00021,CU13620,GEORGE NAKATO,256787886846,8940000,2024-06-10,15:44,EMP004,MCU01,ACTIVE
MCU-00022,CU52164,JOYCE NALWANGA,256799476576,8880000,2024-09-23,17:29,EMP006,MCU03,ACTIVE
MCU-00023,CU46517,AGNES NATURINDA,256783021467,3530000,2024-03-13,15:13,EMP004,MCU04,PAID
MCU-00024,CU56881,MERCY TUSIIME,256701696227,9910000,2024-08-28,17:18,EMP005,MCU04,ACTIVE
MCU-00025,CU89337,JOHN NANTUME,256792855057,9130000,2024-03-08,13:55,EMP004,MCU03,PAID
MCU-00026,CU60998,ROSE AINOMUGISHA,256775106120,7870000,2024-11-14,13:49,EMP003,MCU01,DEFAULTED
MCU-00027,CU30477,EMMANUEL AKELLO,256715968272,7540000,2024-10-11,08:45,EMP006,MCU04,ACTIVE
MCU-00028,CU10173,JOYCE MUKASA,256701235425,1950000,2024-08-25,09:35,EMP003,MCU03,DEFAULTED
MCU-00029,CU37920,FLORENCE MUGISHA,256742110649,2560000,2024-12-08,08:25,EMP003,MCU02,ACTIVE
MCU-00030,CU77006,DANIEL NAKATO,256762078993,8360000,2024-09-18,14:49,EMP005,MCU01,ACTIVE
MCU-00031,CU99163,REBECCA NANTUME,256791602638,940000,2024-06-08,14:35,EMP005,MCU02,PAID
MCU-00032,CU15353,JANE OPIO,256795652357,1430000,2024-01-22,16:44,EMP002,MCU03,ACTIVE
MCU-00033,CU23557,MARGARET KARUNGI,256754984124,4360000,2024-03-31,09:12,EMP004,MCU02,ACTIVE
