id,mid,name,mob,amt,dt,tm,stf,br,st
W0001,M439,Daniel Katusiime,0769411805,8940000,2024-11-10,08:51,S04,WK3,A
W0002,M223,Agnes Nuwagaba,0779944586,6540000,2024-12-02,10:49,S03,WK1,D
W0003,M851,Esther Akello,0752444342,970000,2024-08-26,12:57,S02,WK2,A
W0004,M281,Sarah Ainomugisha,0715141592,5260000,2024-11-17,11:05,S01,WK2,A
W0005,M306,Joseph Ainomugisha,0740719513,6470000,2024-10-05,11:07,S04,WK4,D
W0006,M845,Benjamin Tusiime,0758608121,8440000,2024-06-18,08:42,S03,WK2,D
W0007,M435,Joseph Auma,0715113748,8700000,2024-02-13,15:28,S02,WK4,P
W0008,M739,Richard Opolot,0795082102,3660000,2024-07-03,10:39,S03,WK1,C
W0009,M514,Moses Ainomugisha,0783145859,6610000,2024-06-07,16:16,S05,WK2,C
W0010,M377,Margaret Nabirye,0781307459,250000,2024-10-10,17:12,S02,WK3,D
W0011,M828,Samuel Amongin,0753003177,2850000,2024-11-26,13:27,S05,WK3,D
W0012,M583,John Kyomuhendo,0745798027,640000,2024-09-28,12:30,S02,WK2,C
W0013,M984,James Kato,0781445688,7350000,2024-12-08,08:14,S03,WK3,A
W0014,M703,Andrew Mwesigwa,0769659059,5490000,2024-10-18,12:01,S01,WK4,D
W0015,M959,Charity Naturinda,0761988621,7210000,2024-06-01,16:13,S04,WK3,C
W0016,M550,Rose Nuwagaba,0767896691,1730000,2024-11-25,11:32,S03,WK1,D
W0017,M665,Moses Atuhaire,0720979332,2800000,2024-01-16,15:15,S02,WK3,C
W0018,M976,Peter Auma,0703492788,610000,2024-09-11,14:12,S05,WK4,C
W0019,M342,Grace Byarugaba,0764877079,6430000,2024-03-10,09:00,S01,WK1,P
W0020,M320,Sarah Karungi,0779673570,6390000,2024-06-23,14:30,S05,WK2,A
W0021,M142,George Nantume,0789952336,6690000,2024-09-03,12:02,S01,WK1,P
W0022,M529,Mary Karungi,0762967561,2790000,2024-04-25,09:41,S04,WK1,D
W0023,M729,Robert Nuwagaba,0792924409,3240000,2024-07-14,13:27,S03,WK1,C
W0024,M766,Solomon Adong,0710220585,4370000,2024-04-12,11:08,S02,WK2,D
W0025,M591,Francis Amongin,0717801394,5850000,2024-03-20,14:32,S02,WK2,P
W0026,M778,Esther Opio,0749447583,470000,2024-07-16,16:59,S02,WK2,D
W0027,M312,Samuel Nuwagaba,0715188860,5920000,2024-03-19,11:44,S02,WK3,A
W0028,M242,James Tusiime,0768885083,8380000,2024-01-31,09:04,S05,WK2,D
W0029,M378,Agnes Katusiime,0787178734,5120000,2024-03-25,12:08,S04,WK4,D
W0030,M132,Benjamin Tumusiime,0702931943,6990000,2024-03-13,16:22,S01,WK3,D
W0031,M759,Agnes Kato,0703378904,8190000,2024-01-27,16:06,S05,WK2,A
W0032,M817,Robert Okello,0754269476,5020000,2024-07-19,15:15,S03,WK3,P
W0033,M900,Joseph Adong,0789844672,6460000,2024-06-03,10:26,S03,WK1,D
W0034,M610,Benjamin Naturinda,0702974184,6530000,2024-10-31,11:22,S04,WK1,A
W0035,M840,Moses Nuwagaba,0725041071,3280000,2024-06-06,08:19,S01,WK1,C
W0036,M519,Peter Mwesigwa,0747445527,4910000,2024-05-25,09:58,S04,WK4,A
W0037,M780,Peter Mukasa,0754950344,4990000,2024-05-10,16:16,S02,WK3,C
W0038,M769,David Adong,0753761767,3540000,2024-10-21,13:57,S02,WK4,C
W0039,M227,Andrew Nakato,0729405132,3200000,2024-07-03,16:16,S05,WK4,C
W0040,M453,Samuel Tumusiime,0780133545,240000,2024-11-11,15:08,S02,WK2,P
W0041,M206,Joseph Akello,0783576050,2480000,2024-04-20,11:33,S02,WK1,D
W0042,M696,Hope Auma,0707393972,9260000,2024-01-31,08:41,S03,WK3,A
W0043,M391,Rebecca Ainomugisha,0761763489,2990000,2024-09-12,11:32,S04,WK2,D
W0044,M510,Betty Nantume,0724529032,9140000,2024-07-10,10:43,S01,WK2,C
W0045,M744,Rose Opio,0792355651,8780000,2024-12-13,09:01,S03,WK3,C
W0046,M636,Solomon Karungi,0708158814,3210000,2024-05-29,16:12,S05,WK3,P
W0047,M223,George Mugisha,0743597067,1990000,2024-03-27,14:52,S01,WK4,D
W0048,M606,Francis Mugisha,0798721359,8530000,2024-04-27,12:31,S02,WK3,C
W0049,M654,Ruth Mukasa,0750492883,8600000,2024-02-26,15:59,S05,WK2,P
W0050,M936,Robert Akello,0744933118,2660000,2024-04-21,11:45,S05,WK4,P
W0051,M500,Charity Tumusiime,0750000000,1024385,2024-11-08,12:00,S02,WK1,A
W0052,M501,Catherine Mwesigwa,0750000000,1966275,2024-11-08,12:00,S02,WK1,A
W0053,M502,Mary Byarugaba,0750000000,1674545,2024-11-08,12:00,S02,WK1,A
W0054,M503,Faith Opolot,0750000000,986457,2024-11-08,12:00,S02,WK1,A
W0055,M504,Margaret Mwesigwa,0750000000,1270330,2024-11-08,12:00,S02,WK1,A
W0056,S03,Staff Self Loan,0789999999,7000000,2024-11-15,14:00,S03,WK2,A
W0057,M888,Stacker Person,0761111111,2000000,2024-11-18,09:00,S01,WK1,A
W0058,M888,Stacker Person,0761111111,1800000,2024-11-18,16:30,S04,WK3,A
W0059,M999,Late Approval,0702222222,3000000,2024-11-17,23:15,S02,WK1,A
